timestamp,action_type,hand_speed,leg_speed,movement_intensity,l_elbow_angle,r_elbow_angle,l_hand_speed,r_hand_speed
7.7089,backward_movement,0.0707,0.1337,0.1022,37.86,70.71,0.0666,0.0707
7.7422,kick_low,0.3286,1.4833,0.906,36.08,80.82,0.1703,0.3286
7.7756,kick_low,0.1676,1.5472,0.8574,36.48,75.72,0.1676,0.153
7.809,kick_low,1.5458,8.0485,4.7971,36.69,70.39,0.0835,1.5458
7.8423,guard_position,1.8001,0.3426,1.0714,34.06,46.91,0.0615,1.8001
7.8757,backward_movement,0.627,0.253,0.44,33.4,51.77,0.0392,0.627
7.9091,backward_movement,0.3415,0.0513,0.1964,36.44,62.46,0.154,0.3415
7.9425,backward_movement,0.4923,0.1151,0.3037,36.05,56.0,0.4923,0.2415
7.9758,guard_position,1.5344,0.3092,0.9218,34.77,99.84,0.0432,1.5344
8.0092,backward_movement,0.6016,0.1601,0.3809,36.47,87.38,0.0561,0.6016
8.0426,backward_movement,0.843,0.0606,0.4518,33.46,99.88,0.1022,0.843
8.0759,guard_position,1.1265,0.0585,0.5925,36.17,76.12,0.0655,1.1265
8.1093,backward_movement,0.663,0.1361,0.3995,37.96,74.32,0.0686,0.663
8.1427,forward_movement,0.3079,0.0446,0.1762,36.13,72.98,0.0606,0.3079
8.1761,guard_position,0.7358,0.0601,0.398,36.18,51.49,0.1135,0.7358
8.2094,forward_movement,0.6603,0.224,0.4421,32.39,63.45,0.0968,0.6603
8.2428,forward_movement,0.5747,0.1316,0.3532,34.54,59.51,0.0701,0.5747
8.2762,guard_position,0.5538,0.1619,0.3579,31.48,54.36,0.1174,0.5538
8.3095,guard_position,0.2822,0.0759,0.179,25.96,61.15,0.1294,0.2822
8.3429,forward_movement,0.4532,0.3944,0.4238,28.08,53.24,0.4235,0.4532
8.3763,kick_low,0.7822,1.2285,1.0053,22.03,47.45,0.2639,0.7822
8.4097,forward_movement,0.7729,0.6809,0.7269,17.85,15.69,0.087,0.7729
8.443,guard_position,0.2039,0.1898,0.1969,22.42,17.44,0.1589,0.2039
8.4764,forward_movement,0.285,0.4443,0.3647,19.22,27.76,0.1187,0.285
8.5098,forward_movement,0.8435,0.4322,0.6379,14.74,47.75,0.2934,0.8435
8.5431,guard_position,1.6244,0.5541,1.0892,10.61,21.7,0.1151,1.6244
